# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	1.110769612377502226e-04	2.522015990914611063e-03	-2.529477561714556406e-04
4.834181435339528833e-05	1.126876900792775756e-04	-4.919799004769215712e-04	-2.613235461293119581e-04
8.168099666608183592e-05	1.078555035624548399e-04	-8.534274659000271350e-04	-2.597128172916305278e-04
1.150201789787680921e-04	1.152648562189916351e-04	-9.059372268350696046e-04	-2.674443157139693816e-04
1.483593612914544161e-04	1.268621038538360053e-04	-8.936956877086800564e-04	-2.558470680811421425e-04
1.816985436041414854e-04	1.094662324026772878e-04	-8.891856469523024041e-04	-2.545584850079007011e-04
2.150377259168277959e-04	1.120433985425216820e-04	-8.982057284435333681e-04	-2.616456918957006379e-04
2.483769082295139165e-04	1.310499988335775325e-04	-9.358967832321392734e-04	-2.639007122704595905e-04
2.817160905422001998e-04	1.326607276724332894e-04	-9.168901829552551785e-04	-2.532699019408405131e-04
3.150552728548863747e-04	1.194527511996464536e-04	-9.020714776545273169e-04	-2.532699019409714305e-04
3.483944551675727122e-04	1.226742088759200848e-04	-8.985278742218659985e-04	-2.719543564605559293e-04
3.817336374802589413e-04	1.297614157660021317e-04	-9.494269054632809186e-04	-2.555249223140358835e-04
4.150728197929463088e-04	1.178420223603376900e-04	-9.429839901219377743e-04	-2.606792545953582935e-04
4.484120021056323211e-04	1.001240051395932109e-04	-9.242995356114336314e-04	-2.622899834312157163e-04
4.817511844183182249e-04	1.027011712797006190e-04	-8.994943115203940390e-04	-2.610014003628547568e-04
5.150903667310046709e-04	1.126876900781692228e-04	-8.566489244466159387e-04	-2.661557326446962828e-04
5.484295490436907373e-04	1.107548154705160007e-04	-8.801655654733941568e-04	-2.597128172920845374e-04
5.817687313563794059e-04	9.722469323127316972e-05	-9.230109525442467544e-04	-2.548806307787176420e-04
6.151079136690657976e-04	1.117212527753513873e-04	-9.098029760709618226e-04	-2.474712781234186939e-04
6.484470959817520809e-04	1.236406461795839097e-04	-9.191452033331747431e-04	-2.503705900314140572e-04
6.817862782944378221e-04	1.130098358467758820e-04	-9.268767017507091718e-04	-2.687328987838280038e-04
7.151254606071238886e-04	1.107548154718172195e-04	-9.375075120647756400e-04	-2.532699019389508029e-04
7.484646429198103888e-04	1.091440866334862300e-04	-9.465275935516504965e-04	-2.535920477077506941e-04
7.818038252324961300e-04	1.223520631065983942e-04	-9.342860543903933317e-04	-2.577799426849541040e-04
8.151430075451824133e-04	1.123655443092384820e-04	-9.568362581124853494e-04	-2.577799426850200235e-04
8.484821898578681545e-04	1.126876900767341321e-04	-9.471718850900084615e-04	-2.297532609051514000e-04
8.818213721705542209e-04	1.113991070060932581e-04	-9.719771091785589425e-04	-2.519813188692897766e-04
9.151605544832444074e-04	1.239627919489066845e-04	-9.513597800733138155e-04	-2.558470680811434977e-04
9.484997367959307991e-04	1.088219408658566402e-04	-9.139908710414245850e-04	-2.655114411078796739e-04
9.818389191086165403e-04	1.036676085826462412e-04	-9.362189290023693357e-04	-2.539141934741404581e-04
1.015178101421302607e-03	1.065669204953984737e-04	-9.597355700267950519e-04	-2.581020884530394518e-04
1.048517283733989107e-03	1.255735207835223706e-04	-9.636013192386353289e-04	-2.574577969183698884e-04
1.081856466046675824e-03	1.049561916521119350e-04	-9.249438271459644711e-04	-2.629342749670574107e-04
1.115195648359362541e-03	1.023790255131162814e-04	-9.149573083570626368e-04	-2.558470680808170444e-04
1.148534830672048607e-03	1.039897543516427254e-04	-9.130244337546893031e-04	-2.626121291985836475e-04
1.181874012984734674e-03	1.316942903685721126e-04	-9.665006311445187206e-04	-2.535920477074260840e-04
1.215213195297422692e-03	1.030233170489580977e-04	-9.639234650119347676e-04	-2.687328987816815546e-04
1.248552377610108758e-03	1.130098358460570967e-04	-9.703663803602588728e-04	-2.771086887387553491e-04
1.281891559922794608e-03	1.233185004096742021e-04	-9.445947189653302939e-04	-2.581020884524528442e-04
1.315230742235480241e-03	9.786898476411724833e-05	-9.716549634339995351e-04	-2.745315225982558529e-04
1.348569924548166741e-03	1.252513750177208947e-04	-9.619905904090141286e-04	-2.783972718111513297e-04
1.381909106860852374e-03	1.233185004076547400e-04	-9.716549634299116592e-04	-3.061018078211786859e-04
1.415248289173538223e-03	9.980185937046838430e-05	-9.768092957077841379e-04	-3.199540758261606782e-04
1.448587471486224290e-03	1.020568797445115872e-04	-9.426618443775414309e-04	-3.515243610464165364e-04
1.481926653798910139e-03	7.080874028329002144e-05	-9.626348819535565995e-04	-4.066112872964394872e-04
1.515265836111600543e-03	5.663432650586100383e-05	-9.829300652967991325e-04	-4.890806037884086205e-04
1.548605018424287260e-03	4.696995347677986098e-05	-1.044459906883058635e-03	-6.324354703313752853e-04
1.581944200736973543e-03	2.055400053107755897e-05	-1.064755090225651731e-03	-7.706360045842484529e-04
1.615283383049659826e-03	-1.681490851623685637e-05	-1.063144361390107101e-03	-9.913058552872009224e-04
1.648622565362346326e-03	-4.419729876488836189e-05	-1.062500069851273063e-03	-1.237747367354441767e-03
1.681961747675032610e-03	-8.317693664466954413e-05	-1.119519870684082151e-03	-1.538631514058380004e-03
1.715300929987719110e-03	-1.514718393780868394e-04	-1.203922061740278753e-03	-1.887515380028676696e-03
1.748640112300405176e-03	-1.907736230264071961e-04	-1.236780930016621047e-03	-2.286653985603507265e-03
1.781979294613091677e-03	-2.619678376624186983e-04	-1.265774049085991457e-03	-2.689980486049048901e-03
1.815318476925777960e-03	-3.331620522978396897e-04	-1.341800450179213766e-03	-3.180608489249147838e-03
1.848657659238465327e-03	-3.866382497097893794e-04	-1.436189160004941630e-03	-3.641921227515681862e-03
1.881996841551151394e-03	-4.645975254530287685e-04	-1.540242242859608986e-03	-4.169918139379270167e-03
1.915336023863837894e-03	-5.715499202740711125e-04	-1.592429857160013130e-03	-4.724975295470354962e-03
1.948675206176523960e-03	-6.524085079154897694e-04	-1.687785004272454375e-03	-5.288408241303602618e-03
1.982014388489209810e-03	-7.629045061654207878e-04	-1.858844406694021897e-03	-5.909505279132888471e-03
2.015353570801895877e-03	-8.737226501714186102e-04	-1.964186072582958451e-03	-6.559917581466585129e-03
2.048692753114581943e-03	-9.864736687748075321e-04	-2.078225674176929945e-03	-7.359483373248787777e-03
2.082031935427268009e-03	-1.348243365556566192e-03	-2.324022894540017387e-03	-9.520437171119184444e-03
2.115371117739955377e-03	-1.885582505410314524e-03	-2.739268788339844357e-03	-1.262398947503850372e-02
2.148710300052642744e-03	-2.942542767350049202e-03	-3.511130046059131229e-03	-1.928660817430222565e-02
2.182049482365330546e-03	-5.088677865814183153e-03	-5.142154063093306963e-03	-3.250102735510637664e-02
2.215388664678016612e-03	-8.507610883029682880e-03	-7.888768866633250401e-03	-5.342213942146795125e-02
2.248727846990702679e-03	-1.296063179949378391e-02	-1.184214170279167602e-02	-8.023594141955961434e-02
2.282067029303388745e-03	-1.788044191658633500e-02	-1.647749711315830978e-02	-1.089388058004247400e-01
2.315406211616074812e-03	-2.284052024014139246e-02	-2.135832758285678007e-02	-1.384889132134382028e-01
2.348745393928761745e-03	-2.767496170235672279e-02	-2.626621828295305772e-02	-1.668712420622210924e-01
2.382084576241447812e-03	-3.238859849102016658e-02	-3.107714309535080169e-02	-1.952355305891777804e-01
2.415423758554133878e-03	-3.710352385059004221e-02	-3.579239060401931405e-02	-2.228121726732197883e-01
2.448762940866820812e-03	-4.172695980254086806e-02	-4.047059133839552708e-02	-2.504838477101344330e-01
2.482102123179506879e-03	-4.632720124866281097e-02	-4.507566497391349292e-02	-2.777934309445205252e-01
2.515441305492192945e-03	-5.091713401977495529e-02	-4.970876527957979185e-02	-3.050192563500863652e-01
2.548780487804879012e-03	-5.550352317708386052e-02	-5.432897974420258097e-02	-3.320720896074170203e-01
2.582119670117565078e-03	-6.008089224300532105e-02	-5.892664399539197101e-02	-3.594763840424126666e-01
2.615458852430251144e-03	-6.456258400938297282e-02	-6.343249669595975304e-02	-3.866764382943982392e-01
2.648798034742938078e-03	-6.915283888614869034e-02	-6.800825501606136414e-02	-4.138603855311784874e-01
2.682137217055624145e-03	-7.374889237700291145e-02	-7.261493931917951949e-02	-4.405401749795159749e-01
2.715476399368310211e-03	-7.840583140619854230e-02	-7.726285826953277480e-02	-4.679505913784068327e-01
2.748815581680996711e-03	-8.299898556693398322e-02	-8.189112631965621281e-02	-4.946577639989904740e-01
2.782154763993682778e-03	-8.759052899014257987e-02	-8.649974346988456575e-02	-5.229689008958797736e-01
2.815493946306369278e-03	-9.228838050323080744e-02	-9.115571603713751303e-02	-5.512246292890210508e-01
2.848833128619055344e-03	-9.702327876914028371e-02	-9.590221155219667837e-02	-5.791688433390169699e-01
2.882172310931741411e-03	-1.017601099011208599e-01	-1.007060490024619531e-01	-6.075804916164777580e-01
2.915511493244428345e-03	-1.064772901340821504e-01	-1.054125984274594946e-01	-6.359882748988632262e-01
2.948850675557114411e-03	-1.112675974444821969e-01	-1.101755233508430326e-01	-6.645790378182827585e-01
2.982189857869800478e-03	-1.160885085932815974e-01	-1.149896694406774555e-01	-6.931247012101955374e-01
3.015529040182486544e-03	-1.209532315563303789e-01	-1.198308757657530060e-01	-7.226020113081493834e-01
