# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	1.007682966750442265e-04	1.778503546101919183e-03	-2.571356511513269469e-04
4.834181435339528833e-05	9.883542206797716473e-05	-5.912007974752547280e-04	-2.632564207354003648e-04
8.168099666608183592e-05	1.275063953920915131e-04	-9.378296569795964259e-04	-2.671221699444551096e-04
1.150201789787680921e-04	1.113991070060946405e-04	-9.687556514779240881e-04	-2.616456918970684132e-04
1.483593612914544161e-04	1.062447747243839099e-04	-9.233330983040935209e-04	-2.597128172913703193e-04
1.816985436041414854e-04	1.068890662595712747e-04	-9.252659729035122953e-04	-2.600349630605574875e-04
2.150377259168277959e-04	1.107548154721430087e-04	-9.526483631422548231e-04	-2.645450038051944228e-04
2.483769082295139165e-04	1.113991070056377983e-04	-9.471718851060838187e-04	-2.513370273349469376e-04
2.817160905422001998e-04	1.197748969663607599e-04	-9.871179602680985737e-04	-2.632564207350740200e-04
3.150552728548863747e-04	1.081776493315151971e-04	-9.513597800836985207e-04	-2.684107530134040320e-04
3.483944551675727122e-04	1.200970427350319834e-04	-9.271988475284677171e-04	-2.552027765460834589e-04
3.817336374802589413e-04	1.081776493306010249e-04	-9.143130168046542791e-04	-2.484377154246736113e-04
4.150728197929463088e-04	1.146205646832162804e-04	-9.127022879624489609e-04	-2.487598611948392720e-04
4.484120021056323211e-04	1.136541273795504226e-04	-9.188230575517860720e-04	-2.780751260415077124e-04
4.817511844183182249e-04	9.625825592643707834e-05	-9.304203051740505799e-04	-2.568135053827216700e-04
5.150903667310046709e-04	1.130098358445567913e-04	-8.824205858388168818e-04	-2.684107530143787839e-04
5.484295490436907373e-04	9.980185937235806738e-05	-9.220445152327502465e-04	-2.587463799873809898e-04
5.817687313563794059e-04	1.220299173392319674e-04	-9.094808303038427700e-04	-2.571356511502868717e-04
6.151079136690657976e-04	1.149427104524053595e-04	-8.965949996153700944e-04	-2.603571088261045553e-04
6.484470959817520809e-04	8.756032019984639613e-05	-9.172123287283904690e-04	-2.490820069601897197e-04
6.817862782944378221e-04	1.159091477547022765e-04	-9.130244337461985906e-04	-2.668000241761770992e-04
7.151254606071238886e-04	1.072112120279813816e-04	-9.474940308649013520e-04	-2.516591730997101272e-04
7.484646429198103888e-04	9.690254746318965157e-05	-9.777757329946599324e-04	-2.581020884523214389e-04
7.818038252324961300e-04	1.139762731495900855e-04	-9.513597800690836923e-04	-2.571356511517178017e-04
8.151430075451824133e-04	1.072112120254416380e-04	-9.755207126355532271e-04	-2.542363392419657599e-04
8.484821898578681545e-04	1.056004831897793173e-04	-9.793864618268634855e-04	-2.574577969179780036e-04
8.818213721705542209e-04	1.136541273829396657e-04	-9.771314414668069107e-04	-2.545584850069898086e-04
9.151605544832444074e-04	1.072112120256353172e-04	-9.400846782027426568e-04	-2.587463799873801224e-04
9.484997367959307991e-04	1.088219408664449554e-04	-9.420175528086495139e-04	-2.465048408209265392e-04
